Country,2021 Score,2021 Proficiency Band,Former US/UK colony
Netherlands,663,Very High Proficiency,No
Austria,641,Very High Proficiency,No
Denmark,636,Very High Proficiency,No
Singapore,635,Very High Proficiency,Yes
Norway,632,Very High Proficiency,No
Belgium,629,Very High Proficiency,No
Portugal,625,Very High Proficiency,No
Sweden,623,Very High Proficiency,No
Finland,618,Very High Proficiency,No
Croatia,617,Very High Proficiency,No
Germany,616,Very High Proficiency,No
South Africa,606,Very High Proficiency,Yes
Luxembourg,604,Very High Proficiency,No
Serbia,599,High Proficiency,No
Romania,598,High Proficiency,No
Poland,597,High Proficiency,No
Hungary,593,High Proficiency,No
Philippines,592,High Proficiency,Yes
Greece,591,High Proficiency,No
Slovakia,590,High Proficiency,No
Kenya,587,High Proficiency,Yes
Estonia,581,High Proficiency,No
Bulgaria,580,High Proficiency,No
Lithuania,579,High Proficiency,No
Switzerland,575,High Proficiency,No
Latvia,569,High Proficiency,No
Czech Republic,563,High Proficiency,No
Malaysia,562,High Proficiency,Yes
Nigeria,560,High Proficiency,Yes
Argentina,556,High Proficiency,No
France,551,High Proficiency,No
Hong Kong,545,Moderate Proficiency,Yes
Spain,540,Moderate Proficiency,No
Lebanon,536,Moderate Proficiency,No
Italy,535,Moderate Proficiency,No
Moldova,532,Moderate Proficiency,No
South Korea,529,Moderate Proficiency,No
Belarus,528,Moderate Proficiency,No
Albania,527,Moderate Proficiency,No
Ukraine,525,Moderate Proficiency,No
Bolivia,524,Moderate Proficiency,No
Ghana,523,Moderate Proficiency,Yes
Cuba,521,Moderate Proficiency,No
Costa Rica,520,Moderate Proficiency,No
Dominican Republic,520,Moderate Proficiency,No
Paraguay,520,Moderate Proficiency,No
Chile,516,Moderate Proficiency,No
India,515,Moderate Proficiency,Yes
Mainland China,513,Moderate Proficiency,No
Georgia,512,Moderate Proficiency,No
Russia,511,Moderate Proficiency,No
Tunisia,510,Moderate Proficiency,No
Uruguay,509,Moderate Proficiency,No
El Salvador,508,Moderate Proficiency,No
Honduras,506,Moderate Proficiency,No
Peru,505,Moderate Proficiency,No
Macau,504,Moderate Proficiency,No
Iran,501,Moderate Proficiency,No
Armenia,499,Low Proficiency,No
Brazil,497,Low Proficiency,No
Guatemala,493,Low Proficiency,No
Nepal,492,Low Proficiency,No
Ethiopia,491,Low Proficiency,No
Pakistan,491,Low Proficiency,Yes
Bangladesh,490,Low Proficiency,Yes
Vietnam,486,Low Proficiency,No
Tanzania,485,Low Proficiency,Yes
Mozambique,482,Low Proficiency,No
United Arab Emirates,480,Low Proficiency,Yes
Turkey,478,Low Proficiency,No
Morocco,477,Low Proficiency,No
Bahrain,476,Low Proficiency,No
Panama,475,Low Proficiency,No
Venezuela,475,Low Proficiency,No
Algeria,474,Low Proficiency,No
Nicaragua,470,Low Proficiency,No
Madagascar,469,Low Proficiency,No
Japan,468,Low Proficiency,No
Qatar,467,Low Proficiency,No
Indonesia,466,Low Proficiency,No
Colombia,465,Low Proficiency,No
Sri Lanka,464,Low Proficiency,Yes
Mongolia,461,Low Proficiency,No
Kuwait,458,Low Proficiency,Yes
Egypt,455,Low Proficiency,Yes
Azerbaijan,451,Low Proficiency,No
Afghanistan,448,Very Low Proficiency,Yes
Uzbekistan,447,Very Low Proficiency,No
Syria,445,Very Low Proficiency,No
Ecuador,440,Very Low Proficiency,No
Jordan,440,Very Low Proficiency,Yes
Mexico,436,Very Low Proficiency,No
Myanmar,429,Very Low Proficiency,Yes
Angola,428,Very Low Proficiency,No
Cameroon,428,Very Low Proficiency,Yes
Kazakhstan,426,Very  Low Proficiency,No
Cambodia,423,Very Low Proficiency,No
Sudan,421,Very Low Proficiency,Yes
Ivory Coast,420,Very  Low Proficiency,No
Thailand,419,Very Low Proficiency,No
Kyrgyzstan,418,Very Low Proficiency,No
Oman,417,Very Low Proficiency,Yes
Tajikistan,405,Very Low Proficiency,No
Saudi Arabia,404,Very Low Proficiency,No
Haiti,403,Very Low Proficiency,No
Somalia,401,Very Low Proficiency,No
Iraq,399,Very Low Proficiency,No
Libya,390,Very Low Proficiency,No
Rwanda,389,Very Low Proficiency,No
Democratic Republic of Congo,386,Very Low Proficiency,No
South Sudan,363,Very Low Proficiency,Yes
Yemen,360,Very Low Proficiency,Yes